,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
118,0.604248047,20,0.9,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
119,0.723144531,20,1,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
120,0.070703125,20,0.1,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
121,0.145703125,20,0.2,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
122,0.210058594,20,0.3,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
123,0.287109375,20,0.4,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
124,0.351074219,20,0.5,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
125,0.422753906,20,0.6,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
126,0.495947266,20,0.7,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
127,0.561328125,20,0.8,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
128,0.652587891,20,0.9,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
129,0.736816406,20,1,-1.174188116,4.322294147,1.952939536,-2.725118147,-2.292244436,1.029711759,0.801342584,-0.252821325,-0.445554309,-1.216361691,10
